Country,Official language,Regional language,Minority language,National language,Widely spoken
Abkhazia,"['Abkhaz', 'Russian']",None,['Georgian'],['Abkhaz'],None
Afghanistan,"['Pashto', 'Dari']","['Uzbek', 'Turkmen', 'Pashai', 'Nuristani', 'Balochi', 'Pamiri']",None,None,None
Albania,['Albanian'],None,"['Greek', 'Macedonian', 'Aromanian']",None,['Italian']
Algeria,"['Arabic', 'Tamazight']",None,None,"['Arabic', 'Tamazight']",['French']
Andorra,['Catalan'],None,"['Spanish', 'French', 'Portuguese']",None,None
Angola,['Portuguese'],None,None,"['Kimbundu', 'Umbundu', 'Kikongo', 'Chokwe', 'Kwanyama', 'Ganguela']",None
Antigua and Barbuda,['English (de facto)'],None,None,None,None
Argentina,['Spanish (de facto)'],"['Spanish (in Corrientes and Chaco)', 'Guaraní (in Corrientes)', 'Kom (in Chaco)', 'Moquoit (in Chaco)', 'Wichi (in Chaco)']",None,None,None
Armenia,['Armenian'],None,None,['Armenian (state language)'],None
Artsakh,['Armenian'],None,None,None,None
Australia,['English (de facto)'],None,None,None,None
Austria,['German'],"['Croatian (parts of Burgenland)', 'Hungarian (parts of Burgenland)', 'Slovene (parts of Carinthia)']","['Slovene', 'Czech', 'Hungarian', 'Slovak', 'Romani', 'Serbian']",['German (state language)'],None
Azerbaijan,['Azerbaijani'],None,None,['Azerbaijani (state language)'],None
Azerbaijan,['Azerbaijani'],None,None,['Azerbaijani (state language)'],None
Bahamas,['English'],None,None,None,None
Bahrain,['Arabic'],None,None,None,None
Bangladesh,['Bengali'],None,None,['Bengali'],None
Barbados,['English'],None,None,None,None
Belarus,"['Belarusian', 'Russian']",None,None,None,None
Belgium,"['Dutch, French, German']","['Dutch (Flanders, Brussels)', 'French (Brussels, Wallonia)', 'German (German-speaking community)']",None,None,None
Belize,['English'],['Spanish (border with Mexico and Guatemala)'],None,None,['Kriol (lingua franca)']
Benin,['French'],None,None,None,None
Bhutan,['Dzongkha'],None,None,None,None
Bolivia,"['Castilian', '(37 other languages)']",None,None,None,None
Bosnia and Herzegovina,"['Bosnian (de facto)', 'Croatian (de facto)', 'Serbian (de facto)']",None,None,None,None
Botswana,"['English', 'Tswana']",None,None,['Tswana'],None
Brazil,['Portuguese'],"['German (in Pomerode)', 'East Pomeranian (in Pancas, Santa Maria de Jetibá, Domingos Martins, Itarana, Laranja da Terra, Vila Pavão and Canguçu)', 'Riograndenser Hunsrückisch (in Antônio Carlos, Santa Catarina, and in Santa Maria do Herval, Rio Grande do Sul)', 'Talian (in Bento Gonçalves, Caxias do Sul, Flores da Cunha Nova Roma do Sul and Serafina Corréa)', 'Nheengatu, Baniwa, Tucano (in Sào Gabriel de Cachoeira, Amazonas)', 'Guaraní (in Tacuru, Mato Grosso do Sul)']",None,['Portuguese'],None
Brunei,"['Malay', 'English']",None,None,None,None
Bulgaria,['Bulgarian'],None,None,None,None
Burkina Faso,['French'],None,None,"['Fula', 'Jula', 'More']",None
Burundi,"['French', 'Kirundi', 'English']",None,None,['Kirundi'],['Swahili']
Burundi,"['French', 'Kirundi', 'English']",None,None,['Kirundi'],['Swahili']
Cambodia,['Khmer'],None,None,None,None
Cameroon,"['English', 'French']",None,None,None,None
Canada,"['English (Federal)', 'French (Federal)']","['Chipewyan (Northwest Territories)', 'Cree (Northwest Territories)', ""Gwich'in (Northwest Territories)"", 'Inuinnaqtun (Northwest Territories and Nunavut)', 'Inuktitut (Northwest Territories and Nunavut)', 'Inuvialuktun (Northwest Territories)', 'North Slavey (Northwest Territories)', 'South Slavey (Northwest Territories)', 'Tłı̨chǫ (Northwest Territories)']","['Chipewyan', 'Cree', ""Gwich'in"", 'Inuinnaqtun', 'Inuktitut', 'Inuvialuktun', 'North Slavey', 'South Slavey', 'Tłı̨chǫ']",None,None
Cape Verde,['Portuguese'],None,None,['Cape Verdean Creole'],None
